[17996,932839] [40013,942041]
[209878,758077] [211037,754988]
[265020,840094] [235989,833938]
[235020,833991] [230825,841014]
[490941,925986] [500025,955046]
[500958,955988] [508130,961026]
[508945,961863] [514110,966007]
[508032,961983] [498876,970068]
[514934,966950] [524004,976039]
[524991,976003] [532057,963992]
[508954,961004] [520238,940994]
[520970,940002] [531001,933979]
[531990,933073] [543020,924964]
[543918,924944] [559016,932036]
[559971,932992] [583085,948014]
[583989,948914] [594002,950168]
[594955,950034] [606052,938980]
[606991,938009] [619095,913974]
[619986,913967] [623014,915040]
[623950,915056] [643034,909997]
[643010,909028] [633891,885997]
[633034,885081] [616977,876935]
[616004,876939] [611978,877063]
[616965,876002] [635063,857970]
[583048,948976] [578960,979002]
[303991,760591] [335001,759733]
[335980,759022] [343009,754980]
[343997,754977] [355036,767081]
[355089,767995] [342926,780030]
[355998,767811] [376010,774076]
[376941,774961] [381138,785016]
[381976,785951] [401018,789123]
[376935,774029] [392038,759991]
[392050,759008] [384943,747975]
[392992,759988] [412033,765202]
[384955,747063] [390051,724965]
[390980,724062] [400122,707997]
[400942,707018] [404085,705993]
[404995,705799] [420013,710056]
[420692,710994] [421049,716016]
[404897,705015] [406092,684985]
[406956,684076] [424030,678946]
[424958,678996] [437026,684025]
[412859,765001] [427025,743991]
[427971,743112] [442022,735988]
[442991,735018] [447100,726980]
[447888,726955] [455070,734011]
[455185,734995] [452997,741060]
[455989,734036] [470016,731913]
[470946,731000] [491030,712975]
[491996,712979] [516003,726121]
[406012,684020] [378997,676720]
[378122,676944] [368919,692016]
[368009,692258] [367997,692238]
[367017,692200] [340966,686971]
[378040,676036] [363985,651985]
[381536,785999] [380733,815004]
[380993,815884] [397031,822019]
[380166,815992] [377705,837005]
[377107,837086] [360977,827928]
[360003,827434] [349997,827477]
[349002,827133] [346990,826884]
[397976,822999] [417006,844114]
[417976,844071] [433009,840976]
[433920,840108] [459054,825951]
[459034,825018] [446954,805999]
[446992,805002] [450012,801952]
[446045,805002] [432997,799890]
[459971,825022] [485001,822923]
[485956,822945] [503008,829014]
[503135,829985] [501601,850014]
[503999,829379] [533011,828604]
[533876,828029] [540012,805990]
[540991,805950] [555025,815009]
[555989,815948] [563024,834027]
[555979,815005] [568043,797959]
[568987,797209] [580011,796946]
[580995,796886] [589005,798034]
[589918,798041] [599068,788983]
[540188,805005] [536971,783995]
[536059,783005] [529981,778959]
[589940,798998] [590156,823013]
[437915,684011] [444113,654972]
[444927,654002] [462004,633999]
[462994,633054] [472005,622983]
[472017,622130] [458993,618861]
[458042,618058] [438999,600922]
[438035,600076] [436982,599933]
[436004,599011] [431993,592905]
[436007,599934] [426993,606012]
[426951,606979] [430137,620006]
[431022,592022] [419698,565985]
[419902,565014] [425004,555981]
[425989,555095] [434016,549927]
[425051,555047] [411974,547952]
[411000,547006] [405909,540979]
[405017,540968] [393965,548033]
[419003,565996] [396979,572029]
[396050,572978] [387968,584089]
[387875,584996] [391076,604008]
[405903,540011] [423008,520934]
[423982,520001] [441012,512814]
[441977,512027] [453075,503968]
[434946,549863] [464014,557073]
[464846,557017] [467050,541989]
[467971,541001] [483030,538979]
[516988,726110] [545082,712993]
[545984,712030] [551194,695986]
[551046,695045] [546907,678979]
[551978,695427] [576009,694869]
[576979,694998] [591000,704115]
[576191,694983] [573924,712022]
[573477,712990] [574007,733002]
[574996,733999] [584009,734060]
[574101,733982] [570729,763006]
[533997,828994] [534259,860002]
[534075,860974] [522961,882065]
[635819,857022] [644111,826998]
[485928,822024] [499035,792966]
[499061,792060] [484982,774958]
[484973,774033] [495053,764926]
[644948,826111] [671013,805891]
[671088,805028] [665912,781995]
[665998,781006] [684022,779959]
[665040,781001] [662852,757987]
[662055,757003] [651944,740997]
[651040,740951] [631970,744145]
[631019,744981] [617972,757001]
[651995,740092] [663024,722934]
[663034,722010] [660861,700967]
[660954,700011] [661628,681991]
[661993,681082] [673036,664962]
[673997,664725] [693001,664816]
[693785,664993] [694025,668007]
[693110,664029] [690951,650959]
[690011,650054] [676969,629976]
[676969,629026] [695025,624927]
[695908,624006] [697045,612992]
[697822,612000] [698479,589999]
[698001,589177] [691988,588966]
[691038,588958] [678948,593113]
[661023,681935] [636969,688060]
[636900,688007] [638032,663990]
[638990,663016] [639161,658994]
[678029,593968] [650946,598027]
[650117,598000] [649963,595995]
[649988,595017] [655047,574977]
[671997,805964] [696047,824094]
[696868,824015] [703060,811999]
[703975,811869] [707021,813186]
[703989,811061] [713099,793987]
[713966,793050] [719036,790991]
[719852,790000] [727027,771998]
[727068,771051] [711995,760992]
[711183,760018] [710907,758967]
[710975,758112] [723020,741937]
[707996,813948] [720180,835011]
[720988,835990] [744008,840038]
[744997,840917] [756009,840835]
[650034,598966] [629994,623011]
[629007,623996] [625985,627024]
[629023,623021] [614825,598992]
[614009,598361] [592979,597862]
[546819,678004] [547227,644988]
[547936,644011] [561004,627951]
[547105,644003] [527979,625914]
[594985,950984] [613072,979038]
[613987,979916] [641005,986139]
[641998,986046] [646147,982984]
[646945,982030] [654062,972982]
[654968,972088] [664005,970713]
[664993,970307] [677002,969876]
[677951,969118] [681102,964987]
[677988,969995] [680003,976068]
[680982,976989] [682173,983005]
[682695,983995] [683030,990012]
[681987,964244] [700015,961889]
[700984,961171] [709024,956925]
[709956,956000] [714008,946964]
[714928,946008] [722032,938997]
[722064,938063] [716941,932962]
[716033,932079] [704983,930975]
[700988,961980] [712235,984000]
[712988,984264] [724000,981845]
[681036,964016] [675876,938962]
[483885,538055] [494012,505988]
[694882,668962] [717010,696014]
[717029,696933] [702990,707065]
[717991,696013] [747022,680988]
[747021,680029] [739978,666967]
[739889,666018] [745049,649999]
[745040,649056] [732997,638976]
[745989,649992] [762009,655099]
[762662,655992] [763146,668014]
[763998,668135] [779006,663885]
[779999,663974] [792003,667208]
[792916,667004] [812039,648974]
[812040,648023] [808867,632986]
[812985,648056] [829000,645924]
[808898,632020] [818006,610964]
[818922,610010] [824015,601993]
[824976,601071] [830032,593929]
[818130,610034] [810913,599955]
[810015,599002] [805991,585996]
[830924,593990] [844006,609019]
[844931,609990] [852043,625080]
[852947,625990] [853333,629000]
[805018,585126] [780942,578972]
[780136,578001] [777939,573995]
[777991,573098] [784129,565933]
[732806,638017] [742035,610970]
[784008,565067] [771983,538879]
[771042,538014] [761956,533973]
[761004,533979] [746993,538046]
[746019,538936] [740996,546072]
[740005,546995] [734896,561029]
[771994,538003] [785081,529993]
[761010,533008] [754914,511997]
[780076,578998] [775962,608015]
[853988,629988] [879020,647021]
[879884,647974] [883129,662014]
[883996,662992] [896001,667200]
[896980,667985] [903044,676042]
[785978,529027] [813042,514900]
[813968,514008] [817173,492991]
[817932,492086] [823057,485973]
[823999,485859] [840012,497031]
[840969,497948] [845169,506019]
[840956,497021] [851080,484954]
[747995,680976] [770008,702130]
[770008,702983] [766970,735013]
[766132,735940] [760963,752021]
[760961,752989] [774121,779008]
[774982,779994] [782052,782030]
[782982,782886] [794075,791027]
[883037,662921] [861994,688048]
[861016,688992] [843985,693008]
[843047,693008] [841871,686978]
[843007,693876] [822962,707012]
[822859,707987] [825037,718009]
[879998,647197] [911018,635916]
[911982,635079] [919024,631998]
[919981,631925] [943004,637128]
[943987,637905] [973002,638152]
[943798,637989] [955036,666010]
[955865,666979] [956524,689006]
[919097,631043] [904988,599984]
[904023,599027] [900977,591953]
[956959,689968] [989000,702018]
[989990,702828] [997025,707023]
[325853,313012] [326253,276999]
[326994,276062] [337036,271997]
[337052,271038] [329951,261942]
[337942,271078] [344002,259996]
[344990,259951] [361000,264055]
[716903,932001] [718100,895985]
[718998,895099] [728006,893916]
[728993,893041] [735016,883915]
[956077,689990] [941936,724011]
[941036,724972] [922945,748005]
[922876,748978] [927029,773018]
[927970,773121] [957001,759987]
[957999,759041] [965083,749989]
[965983,749144] [978003,748805]
[978790,748994] [987032,761009]
[922008,748985] [887981,756207]
[887907,756001] [890214,729989]
[927197,773987] [912966,808018]
[912986,808931] [930008,811044]
[912020,808120] [894986,804932]
[930871,811987] [936049,838025]
[936981,838994] [940223,851032]
[940941,851058] [949046,843983]
[940109,851965] [937854,869009]
[937824,869989] [938121,881004]
[938958,881823] [954013,888004]
[937018,869082] [918970,866970]
[918017,866983] [909930,878000]
[954044,888963] [945857,909011]
[945009,909654] [925992,910091]
[894016,804908] [876989,826041]
[954995,888084] [971110,864990]
[949920,843048] [972042,821983]
[876084,826984] [855815,855038]
[855938,855904] [867042,865062]
[855022,855948] [839981,858033]
[839015,858013] [828949,851976]
[828952,851013] [838033,844954]
[828170,851051] [820934,835989]
[820947,835004] [826094,816952]
[820126,835995] [801986,850056]
[801005,850957] [795928,852023]
[839118,858982] [834870,891015]
[834970,891943] [837021,892105]
[834004,891046] [815994,888894]
[815002,888750] [809999,889079]
[809002,889944] [787956,905037]
[787921,905992] [790057,924051]
[837976,892945] [869147,912016]
[869936,912937] [888010,917021]
[869410,912996] [866782,949000]
[866122,949968] [863651,961005]
[863979,961969] [870083,990003]
[870033,990900] [858951,996042]
[858956,996996] [859092,998015]
[858047,996021] [854999,990912]
[870882,990946] [881014,998021]
[881985,998106] [915021,988987]
[866016,949122] [832984,932971]
[854023,990219] [819999,975958]
[819087,975979] [814992,994019]
[814003,994229] [781998,990924]
[323008,540012] [314973,503991]
[314982,503002] [324003,486997]
[324969,486952] [334027,500065]
[527000,625014] [523836,587989]
[523013,587903] [505953,593003]
[505060,593041] [497975,589985]
[523182,587001] [519947,556979]
[519975,556019] [537092,538973]
[537989,538141] [542006,537756]
[542966,537012] [553007,533878]
[553954,533001] [571027,500932]
[571039,500009] [567923,493967]
[567203,493026] [565893,487975]
[565093,487021] [557975,476959]
[557004,476524] [554992,476554]
[554027,476882] [548973,483003]
[565979,487029] [577091,474993]
[548021,483023] [521977,475951]
[521967,475089] [530058,461934]
[530998,461006] [535052,450988]
[535923,450111] [549001,437972]
[577997,474917] [607014,483067]
[607898,483989] [610029,495027]
[610027,495947] [604908,503069]
[610975,495836] [620004,497064]
[620970,497943] [627003,498110]
[627987,498024] [648005,483900]
[648116,483024] [634938,472925]
[634000,472033] [632974,470912]
[648995,483950] [659012,498009]
[659998,498026] [668027,484977]
[632047,470037] [618995,457982]
[634975,472010] [647119,458997]
[618051,457016] [598980,449927]
[668968,484074] [688054,466999]
[604817,503958] [615006,528031]
[615963,528965] [624004,537007]
[624994,537045] [637013,534986]
[688022,466011] [672995,439992]
[672140,439000] [670841,428973]
[670999,428059] [701020,415950]
[701950,415042] [726026,401936]
[726947,401973] [733070,413025]
[733938,413949] [743007,439019]
[743958,439890] [752040,443007]
[752957,443013] [759068,434923]
[759851,434003] [767058,407967]
[767005,407004] [753988,383974]
[753978,383017] [755002,381873]
[753109,383014] [738907,370985]
[755952,381059] [765017,356965]
[765997,356864] [789021,361040]
[767986,407134] [791015,392947]
[738077,370095] [706987,363917]
[791853,392998] [807026,421005]
[807019,421905] [793993,432010]
[793899,432992] [803055,439033]
[803969,439082] [827009,436962]
[535031,450067] [517885,421958]
[517009,421787] [510973,422143]
[510129,422004] [504858,392992]
[504002,392044] [496965,386963]
[496010,386031] [476951,381916]
[476996,381018] [478158,358996]
[478969,358014] [482017,355971]
[476118,381906] [456890,405018]
[456940,405942] [477050,414079]
[477024,414967] [471961,428012]
[471006,428081] [460996,428158]
[456082,405024] [440973,383945]
[504960,392006] [528004,366986]
[528127,366004] [526897,357978]
[526997,357170] [550022,353975]
[553898,533986] [562059,570043]
[440006,383014] [410868,359988]
[826931,816020] [848064,784914]
[915952,988011] [932107,953995]
[120042,393029] [103897,358998]
[103078,358008] [93950,343905]
[93039,343943] [72982,350010]
[72000,350026] [54956,345985]
[54039,345959] [45933,356040]
[54042,345035] [30976,326986]
[30761,326030] [42069,310968]
[42990,310039] [51084,304990]
[30017,326992] [7924,337055]
[72986,350997] [78030,382000]
[78041,382948] [66976,412031]
[66059,412984] [62880,426021]
[62109,426965] [58955,439045]
[66993,412866] [88033,426000]
[58131,439906] [41995,467044]
[41011,467304] [18996,464572]
[534988,860935] [566009,883027]
[845953,506975] [865059,540037]
[865990,540969] [897006,542367]
[897965,542998] [910004,552038]
[910945,552042] [921051,544962]
[921994,544246] [929057,541949]
[929969,541886] [939023,544124]
[939986,544133] [951037,541959]
[897917,542002] [899027,525993]
[951989,541342] [970004,537846]
[970999,537982] [975019,539042]
[975999,539991] [998005,545204]
[970168,537026] [960944,510975]
[960024,510075] [952959,496976]
[952972,496027] [959003,493917]
[959978,493025] [961063,491959]
[952070,496083] [928995,492846]
[928022,492037] [926944,487996]
[961741,491003] [962530,464985]
[962965,464011] [984008,459822]
[984790,459001] [985006,447994]
[985982,447021] [988112,441977]
[962027,464010] [935966,451933]
[935996,451029] [944001,439950]
[944097,439016] [934946,415998]
[926027,487084] [905987,464929]
[934973,415036] [963039,397895]
[963904,397005] [966079,376974]
[966984,376072] [983065,364958]
[983983,364980] [993024,384045]
[983057,364041] [964933,342980]
[964981,342031] [976008,329951]
[976970,329070] [982005,328710]
[982081,328023] [977988,306985]
[977955,306032] [986055,290989]
[977005,306755] [953992,308237]
[953005,308154] [931995,308172]
[931000,308546] [907995,307786]
[907044,307982] [889909,326005]
[889079,326945] [885808,337024]
[885015,337079] [873996,327972]
[885956,337956] [893099,353004]
[893021,353976] [874974,364022]
[874885,364997] [877067,382014]
[877092,382992] [868967,391002]
[868008,391963] [862968,396013]
[862819,396993] [864068,407042]
[862027,396853] [850998,398077]
[877974,382945] [892040,389082]
[892982,389977] [895080,398024]
[895135,398997] [886999,405090]
[864994,407998] [875081,433010]
[873005,327211] [847987,313948]
[893994,353971] [917014,371064]
[917954,371880] [920025,372088]
[917973,371052] [923026,359995]
[998238,545996] [994967,579015]
[850007,398028] [831976,369963]
[831882,369020] [835071,356990]
[907020,307032] [898959,271987]
[898018,271062] [878956,259982]
[878870,259028] [880055,253951]
[878013,259754] [842993,260111]
[842006,260988] [806927,268011]
[806005,268244] [786980,263800]
[786012,263992] [773991,270084]
[773033,270046] [769970,262990]
[773976,270979] [783026,286006]
[773041,270999] [757978,285046]
[783981,286968] [798014,303062]
[798075,303995] [796987,312026]
[769006,262006] [764855,238981]
[757000,285019] [737927,261975]
[737001,261071] [715986,253957]
[715049,253069] [708966,248977]
[764038,238021] [750853,205982]
[750965,205063] [778009,200936]
[778962,200135] [788026,198986]
[788985,198963] [797026,202070]
[797848,202976] [799174,210019]
[799974,210944] [811080,225046]
[811993,225970] [816022,230028]
[816899,230001] [836033,219891]
[836970,219013] [860016,208984]
[750124,205000] [741958,175951]
[741010,175051] [731951,154985]
[731961,154030] [736074,141988]
[741022,175990] [721988,189010]
[731042,154005] [705981,145953]
[860991,208113] [891046,200987]
[891986,200972] [908058,223034]
[891972,200007] [916056,182987]
[916992,182902] [933038,188076]
[933991,188771] [958011,191057]
[958927,191950] [967016,208034]
[967948,208078] [979047,199976]
[916079,182000] [914877,155996]
[914007,155005] [902998,153754]
[902090,153084] [884973,128928]
[884016,128080] [872867,106997]
[872995,106057] [882001,86941]
[882899,86985] [901070,103006]
[901928,103004] [913107,75955]
[913994,75058] [924043,72924]
[924992,72932] [948003,72935]
[948994,72276] [974000,71591]
[948207,72993] [946892,103027]
[946938,103995] [950017,112019]
[950021,112955] [947910,124025]
[950993,112986] [981007,112774]
[958929,191009] [980025,166982]
[980997,166549] [991004,166496]
[991900,166069] [996009,152991]
[996030,152002] [990928,145959]
[736095,141007] [729820,107987]
[729979,107001] [758026,105946]
[758920,105003] [776037,98908]
[776990,98715] [802003,99300]
[802230,99009] [800953,87983]
[729002,107935] [699981,110220]
[699031,110059] [685982,90996]
[685874,90007] [686237,80995]
[685006,90059] [666987,87954]
[729979,107001] [730396,75996]
[730997,75053] [748038,67862]
[748982,67024] [749105,65994]
[802990,99961] [833050,115019]
[882031,86051] [849996,75826]
[849985,75007] [856043,61953]
[856962,61005] [857108,41989]
[857028,41833] [846981,43114]
[857902,41030] [871042,16904]
[846010,43993] [821987,58037]
[871988,16140] [906002,14846]
[721077,189950] [689998,205011]
[689007,205984] [674977,220101]
[674060,220998] [653964,234015]
[674034,220003] [652963,194911]
[652050,194014] [630865,172926]
[630005,172931] [603983,190008]
[603831,190991] [605089,195026]
[605984,195922] [612020,204078]
[612972,204914] [622078,208059]
[612000,204996] [597959,218020]
[597025,218075] [582932,202996]
[582134,202970] [572997,221059]
[572017,221005] [556998,216972]
[556000,216882] [541928,225072]
[541005,225051] [525976,221938]
[525005,221997] [512917,248001]
[512753,248995] [513089,261025]
[513856,261996] [515014,269016]
[512034,248024] [489984,240995]
[489004,240029] [480997,238939]
[480015,238108] [461959,234990]
[489912,240004] [493013,217998]
[493056,217030] [486967,196974]
[461007,234090] [435999,224872]
[435967,224042] [448081,200935]
[515000,269998] [488954,282031]
[488094,282998] [487912,297002]
[487033,297994] [479995,302093]
[479023,302963] [475991,311001]
[488056,282032] [473959,274895]
[473093,274006] [465910,267959]
[487996,297902] [507003,299301]
[507984,299788] [509012,300040]
[473081,274981] [457978,287095]
[457179,287995] [454911,304030]
[454073,304987] [443980,313040]
[509999,300144] [538031,292932]
[448094,200001] [445819,170992]
[445960,170046] [463088,153901]
[463939,153007] [481015,144947]
[481992,144233] [492034,142882]
[492992,142042] [502010,141701]
[502806,141017] [511009,125948]
[597917,218998] [600063,249002]
[600058,249964] [587996,257040]
[538958,292999] [569001,300190]
[445004,170319] [413997,168750]
[413095,168021] [398984,146985]
[398001,146005] [383968,133949]
[383000,133012] [382876,119997]
[382021,119000] [366913,102998]
[366964,102085] [375082,93994]
[375036,93016] [359939,80944]
[359058,80030] [356772,71992]
[359050,80950] [347992,88000]
[347040,88014] [327941,73981]
[383009,133985] [372909,159009]
[372001,159020] [350967,150980]
[350054,150992] [339999,154005]
[339000,154117] [312994,144908]
[327917,73016] [332304,44986]
[332263,44000] [330873,39947]
[330022,39012] [316988,35985]
[316023,35878] [298970,39003]
[298985,39995] [299196,56002]
[299000,56878] [272995,55688]
[272074,55007] [261966,45965]
[261043,45926] [258990,47142]
[332974,44102] [358064,31994]
[358997,31273] [373002,31092]
[373784,31002] [374290,20992]
[374002,20073] [365984,7923]
[258138,47012] [237974,23943]
[237023,23034] [225934,9922]
[225027,9021] [224993,8949]
[237986,23023] [252026,11972]
[582062,202032] [564942,174944]
[564069,174028] [560880,147981]
[560036,147026] [558974,123995]
[558956,123075] [575019,99980]
[575998,99037] [593071,80995]
[593985,80018] [601051,77978]
[601905,77007] [608003,60960]
[608016,60071] [595977,41950]
[595000,41439] [585999,41224]
[585078,41985] [579927,58013]
[595591,41012] [596000,21974]
[601952,77978] [621011,95022]
[621133,95998] [609984,119022]
[579065,58887] [552958,74001]
[552084,74053] [544914,50985]
[544036,50054] [539958,47916]
[608970,60025] [640004,52854]
[413072,168976] [395987,197057]
[395277,197989] [394845,199001]
[395042,197023] [386988,192963]
[224098,8971] [198980,32020]
[198016,32973] [185992,53029]
[185194,53993] [184822,75019]
[184995,75923] [200003,80126]
[184047,75992] [180825,97020]
[180997,97939] [189005,100018]
[189972,100948] [197030,106024]
[180021,97939] [164983,109043]
[164005,109933] [148947,124011]
[148054,124005] [131963,114935]
[131025,114038] [128874,111984]
[131001,114817] [125984,118045]
[128003,111026] [121978,106876]
[128899,111012] [137164,103991]
[137002,103008] [133920,97974]
[133066,97009] [118966,82927]
[133987,97072] [152025,87947]
[197980,106964] [220006,111004]
[152045,87012] [145878,60997]
[145970,60006] [147033,53996]
[220934,111995] [223238,142007]
[147924,53016] [158015,22973]
[158990,22064] [168005,18847]
[125011,118991] [119849,152020]
[119968,152992] [129042,161110]
[121007,106119] [87990,99796]
[87068,99075] [79970,91963]
[79007,91065] [65979,65975]
[65022,65969] [47991,73032]
[65080,65005] [48992,51975]
[48016,51780] [31995,52261]
[31114,52961] [26975,66009]
[26897,66996] [27115,84002]
[31988,52032] [33218,29999]
[27011,84960] [14904,104017]
[14019,104092] [6989,101954]
[6062,101981] [1951,105020]
[14912,104980] [19188,125010]
[19020,125936] [12866,136057]
[12262,136991] [9733,157029]
[31035,52217] [5999,47926]
[5041,47970] [4836,50005]
[19942,125979] [46062,145054]
[46908,145969] [50061,155017]
[50112,155960] [38862,179068]
[38988,179989] [61008,181067]
[61921,181934] [77051,199030]
[77069,199957] [69837,218004]
[77956,199035] [92071,182975]
[92982,182961] [107047,191013]
[107919,191996] [117023,215073]
[38019,179998] [29975,211015]
[29011,211684] [997,212532]
[117199,215996] [116878,249007]
[116004,249022] [98994,247774]
[116968,249981] [134001,251300]
[116018,249990] [106921,271008]
[98000,247840] [74988,253054]
[457002,287016] [429856,264999]
[429071,264075] [407959,253957]
[407011,253123] [403999,252996]
[906989,14703] [942000,11898]
[539068,47043] [506946,30948]
[506011,30036] [474970,22874]
[486993,196012] [518075,177941]
[705023,145037] [669988,134919]
[669020,134981] [657942,141040]
[386008,192974] [348990,199076]
[348037,199005] [341995,197762]
[341015,197033] [320964,188954]
[320076,188968] [317868,213027]
[317013,213918] [283994,222183]
[653120,234965] [645993,272010]
[645955,272944] [658048,302008]
[658994,302058] [667006,299932]
[658064,302926] [626985,323058]
[626999,323986] [628071,329020]
[628931,329978] [642027,339012]
[642984,339907] [656001,343021]
[628023,329985] [602930,350117]
[602035,350057] [588953,342999]
[602012,350984] [581971,382077]
[581996,382918] [586003,386039]
[129973,161985] [155013,191032]
[155974,191032] [171138,166994]
